project;0;1;2;3;4;5;6;7;8;9;10;11
podman-desktop/podman-desktop;1065;1085;1037;1356;1666;1596;1607;1122;1860;2239;2465;1551
ppy/osu-framework;150;163;178;92;92;138;219;188;175;139;80;34
prettier/prettier;1019;675;556;648;802;510;709;429;764;1450;739;1565
prisma/prisma;546;399;297;332;289;333;321;310;505;675;924;464
privatenumber/tsx;40;19;23;10;9;12;5;1;2;7;1;14
psf/black;58;85;142;148;183;98;122;184;146;126;114;30
puckeditor/puck;26;14;26;129;61;31;62;114;134;34;67;86
pwndbg/pwndbg;295;410;281;327;198;121;657;359;201;189;311;665
pydantic/pydantic;765;760;767;1066;1106;949;952;818;1001;730;585;669
pytest-dev/pytest;214;477;225;183;215;158;300;165;181;185;164;109
qgis/QGIS;2353;2037;2035;2837;3099;3426;4056;3305;4199;4230;4359;3939
quarkusio/quarkus;947;980;1012;1114;931;962;1014;775;1178;980;957;830
rancher-sandbox/rancher-desktop;1295;1181;1077;1301;1374;1172;1486;1158;1371;1181;1174;1234
raphw/byte-buddy;18;32;31;37;67;34;21;29;61;16;33;14
rapidsai/cudf;235;182;252;187;237;173;234;134;199;225;225;253
reactor/reactor-core;58;54;50;55;51;62;53;43;57;68;41;43
realm/realm-js;338;637;235;126;16;44;25;5;13;2;37;5
redis/lettuce;45;49;73;66;72;108;134;146;243;229;180;160
redpanda-data/redpanda;57;61;114;50;90;24;36;14;24;17;21;32
refined-github/refined-github;6;9;3;4;3;5;5;1;2;3;3;0
refinedev/refine;814;420;661;199;349;279;527;324;77;117;196;132
remkop/picocli;33;14;19;4;0;6;4;2;0;5;3;179
remotely-save/remotely-save;48;36;19;12;10;4;0;0;0;0;0;0
renovatebot/renovate;1506;1347;1532;1604;1280;1197;1522;1082;1451;1633;1320;1286
resend/react-email;91;117;254;288;204;129;90;153;210;172;429;1572
retorquere/zotero-better-bibtex;184;94;209;222;197;105;167;106;115;147;282;151
riok/mapperly;85;121;162;80;84;88;94;68;91;103;118;95
rizinorg/cutter;13;0;22;0;5;32;17;2;34;9;17;95
roboflow/supervision;165;128;124;174;159;122;84;119;19;81;64;90
root-project/root;1952;1098;1150;1410;1814;1395;2375;1218;1860;1951;3138;2258
roundcube/roundcubemail;156;78;140;87;67;86;126;65;68;156;217;100
run-llama/llama_index;1926;1712;1642;2004;1694;1382;1256;790;925;1239;1151;1149
runtipi/runtipi;136;81;125;157;86;84;238;175;165;251;404;411
saltstack/salt;299;252;247;232;290;374;39;162;387;451;272;311
saulpw/visidata;174;180;162;147;308;168;109;144;111;27;63;45
scipy/scipy;4149;2995;3314;4233;3101;2884;3297;3684;4273;2929;3889;2947
seleniumbase/SeleniumBase;103;103;122;105;117;116;115;111;124;117;121;116
shadcn-ui/ui;3;20;58;31;31;71;17;25;86;105;94;35
shaka-project/shaka-player;635;483;197;345;267;322;424;320;448;563;609;400
shipshapecode/shepherd;145;116;102;26;95;81;32;21;69;47;42;55
simonw/datasette;197;66;147;293;36;7;45;15;130;88;17;65
simple-icons/simple-icons;645;296;121;167;312;135;431;357;202;179;155;88
sktime/sktime;697;607;843;577;440;386;523;433;661;601;777;242
skypjack/entt;272;201;243;180;240;135;138;123;186;144;151;92
software-mansion/react-native-reanimated;0;0;135;621;531;401;397;281;962;1587;1024;916
songquanpeng/one-api;0;97;58;8;28;31;11;29;74;31;0;0
spacedriveapp/spacedrive;623;443;346;374;314;240;97;155;91;64;44;30
spiral/framework;47;39;41;136;48;53;70;109;87;69;47;36
spring-projects/spring-boot;198;273;246;342;302;343;205;150;279;389;382;334
sqlalchemy/sqlalchemy;52;77;71;91;100;42;64;93;67;80;138;78
sqlfluff/sqlfluff;171;130;182;379;479;309;165;128;184;120;236;212
stanfordnlp/stanza;115;43;110;81;146;71;89;54;75;47;78;26
storybookjs/storybook;1585;2526;1888;1424;1365;1341;2017;1441;1639;1908;2370;2720
stratumauth/app;59;13;5;1;1;36;12;0;8;40;7;3
streamlink/streamlink;75;101;113;102;139;121;93;94;77;79;72;75
streamlit/streamlit;7018;4318;4528;7523;6417;6565;6652;6075;9120;11166;11078;7882
supabase/supabase;1595;1382;1224;1200;1515;1288;1964;1180;1475;2475;3173;2992
symfony/symfony;2469;3158;2810;3180;3785;3556;4000;4040;4317;3553;3509;2578
sympy/sympy;269;344;410;373;298;208;431;606;1184;998;1254;895
testcontainers/testcontainers-dotnet;91;48;55;347;216;103;169;64;137;175;120;173
thephpleague/commonmark;0;0;38;26;5;1;33;15;8;2;12;30
thu-ml/tianshou;20;38;161;73;8;4;16;2;12;18;2;0
tinacms/tinacms;67;464;403;307;706;309;171;250;188;285;194;249
transloadit/uppy;683;498;209;223;90;76;172;147;99;65;145;192
trustwallet/wallet-core;222;282;288;270;354;570;252;408;960;648;876;528
tutao/tutanota;220;422;724;908;755;1061;1430;750;1301;799;655;695
typescript-eslint/typescript-eslint;776;533;558;494;452;482;330;457;737;762;549;688
udecode/plate;78;96;83;163;138;233;162;142;141;179;113;183
ueberdosis/tiptap;157;151;243;117;104;131;160;126;171;15;77;117
ultralytics/ultralytics;30;30;30;30;30;30;31;30;1378;1349;1951;2283
umbraco/Umbraco-CMS;0;0;0;0;0;21;391;248;504;543;638;697
unit8co/darts;31;78;54;39;69;80;67;67;86;190;77;152
usebruno/bruno;101;180;176;270;264;110;149;171;261;250;351;265
uxlfoundation/oneDNN;0;0;0;0;270;217;208;626;648;643;582;421
vcmi/vcmi;289;202;422;474;397;300;386;430;254;318;181;172
verdaccio/verdaccio;156;265;446;98;514;234;418;398;342;365;418;229
video-dev/hls.js;537;446;765;573;756;612;1070;537;962;1107;290;191
visgl/deck.gl;103;150;119;160;121;32;56;169;115;206;134;159
vitejs/vite;353;180;372;315;427;777;551;300;294;296;369;347
vitodeploy/vito;31;26;22;18;10;50;59;37;74;139;84;15
vllm-project/vllm;0;0;0;0;0;0;74;2058;2262;3089;4045;4491
voicepaw/so-vits-svc-fork;43;71;48;7;27;12;10;10;8;14;5;4
voxel51/fiftyone;12;30;8;2;22;2;0;6;0;0;0;0
vuejs/language-tools;90;184;177;499;44;253;36;337;64;334;96;144
vuetifyjs/vuetify;301;218;320;317;180;255;191;138;352;437;694;675
wagtail/wagtail;179;205;198;145;253;412;332;115;328;209;179;215
wasp-lang/wasp;171;172;105;115;192;34;78;55;180;104;280;317
webpro-nl/knip;252;328;201;323;281;215;348;228;276;196;408;727
webstudio-is/webstudio;521;500;583;512;429;290;398;619;409;416;434;230
windingwind/zotero-better-notes;0;0;0;0;0;0;0;9;8;9;25;10
withfig/autocomplete;74;89;87;35;82;32;57;82;36;70;16;23
wix/Detox;29;60;49;98;64;49;67;102;73;68;88;11
wojtekmaj/react-pdf;49;17;0;18;31;3;3;14;15;8;24;4
wp-graphql/wp-graphql;77;141;88;75;28;49;104;77;274;337;189;332
wxWidgets/wxWidgets;659;1010;415;524;565;900;472;396;787;913;725;910
xorbitsai/inference;308;307;269;324;136;168;162;184;100;203;154;248
xoseperez/espurna;19;12;10;17;4;12;6;2;12;6;17;7
xtekky/gpt4free;53;10;14;47;56;143;270;181;250;102;152;86
xtermjs/xterm.js;11;116;29;14;38;10;4;85;21;6;4;15
yarnpkg/berry;4265;4504;4704;4353;4379;4391;4410;4287;4209;4602;4725;4340
yt-dlp/yt-dlp;1088;997;669;820;721;1247;874;444;889;900;1288;739
zcash/zcash;27;8;52;78;57;6;3;13;2;0;19;26
zulip/zulip;1487;1860;1452;1136;1533;1561;1456;1499;2054;2341;1985;1206
zzzprojects/System.Linq.Dynamic.Core;8;71;15;19;0;20;27;19;65;7;6;26
