project;0;1;2;3;4;5;6;7;8;9;10;11
QwikDev/qwik;594;442;389;318;294;302;243;250;379;187;385;191
RedisInsight/RedisInsight;0;0;0;0;0;17;0;0;0;0;0;0
Serial-Studio/Serial-Studio;1;0;12;0;75;100;224;15;4;1;0;67
Shopify/react-native-skia;0;0;0;56;101;66;182;195;131;82;157;70
Slackadays/Clipboard;0;2;8;0;56;50;8;2;92;20;4;2
StarRocks/starrocks;2995;3186;3179;2849;1843;2172;2047;2296;1720;2560;2202;2243
Stellarium/stellarium;163;489;79;652;406;148;685;539;533;709;1350;231
TeamNewPipe/NewPipe;6;34;78;44;18;45;89;23;65;36;41;52
Textualize/rich;0;32;5;44;36;14;4;1;2;2;29;6
TheAssassin/AppImageLauncher;4;4;5;4;4;5;4;4;4;5;4;4
TheJoeFin/Text-Grab;5;2;3;5;2;4;5;5;2;8;2;0
ToolJet/ToolJet;1584;1120;840;576;702;760;1056;1123;1482;1220;1286;2239
TypeCellOS/BlockNote;210;145;126;71;146;276;195;85;135;439;289;192
Tyrrrz/DiscordChatExporter;46;9;8;11;6;22;6;8;8;6;21;45
Tyrrrz/LightBulb;37;4;13;7;4;7;5;7;28;2;14;5
UnblockNeteaseMusic/server;9;10;24;22;6;21;9;6;8;11;14;11
ValveResourceFormat/ValveResourceFormat;137;75;60;65;36;42;65;64;49;24;117;121
Warzone2100/warzone2100;1224;1446;384;321;279;603;225;174;306;456;432;288
WordPress/gutenberg;10014;10546;10175;9300;9041;9061;10442;7802;4448;1990;1662;978
ZDoom/gzdoom;28;39;44;58;117;123;77;48;101;98;84;89
Zettlr/Zettlr;82;70;68;58;150;90;130;70;112;120;57;112
activeloopai/deeplake;122;138;117;118;81;38;80;44;53;47;10;6
actor-framework/actor-framework;134;150;88;20;20;84;30;12;142;112;70;146
actualbudget/actual;1033;1379;1767;1315;1707;1876;1579;1483;2471;3139;2206;1818
advplyr/audiobookshelf;174;224;346;529;475;397;352;627;484;461;410;308
aio-libs/aiohttp;81;107;770;1199;1146;1140;1131;346;315;260;457;426
airbytehq/airbyte;185;151;266;276;151;206;115;87;306;182;198;256
ajnart/homarr;40;25;39;40;8;34;37;45;15;2;4;3
alibaba/nacos;251;295;341;366;126;238;330;181;79;156;99;115
amplication/amplication;176;249;117;80;287;297;236;185;240;166;38;17
ansible/awx;337;352;375;316;624;349;432;225;463;270;346;415
apache/airflow;0;0;0;0;0;0;0;0;0;0;0;527
apache/beam;66690;55762;48754;54417;70179;68032;67869;57648;79195;77203;74305;72123
apache/dolphinscheduler;1548;2064;914;1194;958;936;1157;396;328;346;565;305
apache/druid;659;598;787;704;1037;442;311;256;322;302;509;415
apache/fory;96;129;229;85;132;177;44;102;296;94;102;173
apache/kvrocks;194;205;234;106;158;198;124;123;231;152;185;262
apache/pulsar;962;679;764;615;1068;506;666;609;525;726;554;666
apache/seatunnel;266;478;444;689;584;595;672;530;454;678;474;470
apache/shardingsphere;2844;2686;2519;2257;2479;2525;3002;2548;3069;2698;1822;1667
apache/skywalking;62;102;68;70;103;108;96;105;86;101;140;59
apify/crawlee;332;245;260;262;342;167;178;172;178;250;205;136
appsmithorg/appsmith;1223;966;1326;1565;1504;845;1401;1465;1277;1131;985;505
appwrite/appwrite;355;266;351;289;337;423;361;250;494;599;546;403
